anio,depto,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,horas_mensuales,departamento,ocupados_remuneracion_valida,horas_mensuales_remuneracion_valida,rem_total_mensual,rem_por_trabajador,rem_por_hora,share_ocupados_remuneracion_valida
2014,11,3620902.1725722044,3615591.7681449205,170456716.40212783,47.144901120732825,0.001466597045208684,170707074.89376324,8876767894.475689,739730657.872974,Bogotá D.C.,3615591.7681449205,738645771.0758872,8563047737055.958,2368366.863897764,11592.901594201647,0.9985334029547913
2015,11,3617817.5869811964,3612144.9615248144,170698855.60950276,47.25692280562426,0.0015679688983754048,170966926.43280023,8890280174.505611,740856681.2088009,Bogotá D.C.,3612144.9615248144,739695040.974512,7946766823824.311,2200013.2631636406,10743.301473746309,0.9984320311016246
2016,11,3535659.2854017583,3533192.6754986467,165830857.31327367,46.9351299359494,0.0006976378955110274,165946627.96957752,8629224654.418032,719102054.5348359,Bogotá D.C.,3533192.6754986467,718600381.6908525,7965434059244.992,2254457.877285397,11084.650470825638,0.999302362104489
2017,11,3329229.5413709898,3327453.192911413,156504099.396453,47.03420012935389,0.0005335614253997312,156587648.5254002,8142557723.32081,678546476.9434009,Bogotá D.C.,3327453.192911413,678184430.717963,7578517819885.187,2277573.0808264897,11174.715131490346,0.9994664385746003
2018,11,3406080.6571038486,3403189.430188113,160744807.5323053,47.23357627595242,0.0008488427629291806,160881370.51936078,8365831267.006761,697152605.5838968,Bogotá D.C.,3403189.430188113,696560832.6399896,8061858116521.704,2368912.539810069,11573.803376177473,0.9991511572370708
2019,11,3568694.8330839546,3567192.9723888845,167599753.34547457,46.983652031932564,0.0004208431276182534,167670316.24577218,8718856444.780153,726571370.3983461,Bogotá D.C.,3567192.9723888845,726265597.8303897,8538974498901.436,2393751.7720503467,11757.371579227145,0.9995791568723817
2021,11,3134441.084553535,3129469.8939425983,147266139.4239826,47.05785465743924,0.0015859894880253522,147500072.9892265,7670003795.439777,639166982.9533148,Bogotá D.C.,3129469.8939425983,638153270.8372579,9209198560606.93,2942734.35204865,14431.013647433712,0.9984140105119746
2022,11,3588029.8763249717,3585460.633995056,170640626.99749246,47.59238614408052,0.0007160593469046628,170762903.37055552,8879670975.268887,739972581.2724072,Bogotá D.C.,3585460.633995056,739442716.989134,10245669590305.645,2857560.195519294,13855.934144600147,0.9992839406530953
2023,11,3808991.2263876526,3803993.5766082336,176621975.2523889,46.43067126571515,0.0013120664980261765,176854019.48639828,9196409013.292711,766367417.7743926,Bogotá D.C.,3803993.5766082336,765361892.7603518,10983111923157.979,2887258.272646949,14350.220499672805,0.9986879335019738
2024,11,3964950.027902832,3962574.062326514,179756511.67696062,45.36357146885013,0.0005992422501158723,179864293.96118945,9352943285.981852,779411940.4984876,Bogotá D.C.,3962574.062326514,778944883.933496,11685296188049.83,2948915.529212629,15001.441602699435,0.9994007577498841
