anio,depto,departamento,pib_miles_millones_2015,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015,horas_semanales_por_trabajador
2015,13,Bolívar,28105.21128828678,714401.2321527441,714371.5550481892,30790909.277031165,43.102093104692706,4.154122812105587e-05,30792188.422354765,1601193797.962448,28105211288286.78,39.340933390604356,17552.660598642862,43.102093104692706
2016,13,Bolívar,29284.661306104183,683619.3151373923,683379.5176962774,30219664.850882933,44.2209110286999,0.0003507762811919557,30230268.912191384,1571973983.4339519,29284661306104.184,42.83767391829562,18629.227719235092,44.2209110286999
2017,13,Bolívar,30271.190343724826,721236.337314258,721236.337314258,32052893.34473109,44.441595197615456,0.0,32052893.34473109,1666750453.9260166,30271190343724.824,41.97124961347451,18161.801169707975,44.441595197615456
2018,13,Bolívar,30804.08827574953,743474.7918268009,743243.0675328398,32253017.512930106,43.39497927641958,0.00031167740521731435,32263073.18386439,1677679805.5609481,30804088275749.53,41.432592758202915,18361.12479487699,43.394979276419576
2019,13,Bolívar,31919.755993308096,930911.235658458,930911.235658458,39544240.13120447,42.479066334647676,0.0,39544240.13120447,2056300486.8226326,31919755993308.094,34.28872138462311,15522.90445771866,42.47906633464768
2021,13,Bolívar,32660.56437121709,749763.8753457139,748941.0089795777,32199180.658999033,42.9929464042435,0.0010975006841411616,32234558.108576182,1676197021.6459615,32660564371217.09,43.56113363845037,19484.91970182936,42.9929464042435
2022,13,Bolívar,35424.40371121257,818789.4617195129,818696.8532651266,34480924.25350634,42.11683984858318,0.00011310411127163356,34484824.62894836,1793210880.7053146,35424403711212.57,43.26436204591464,19754.733864474027,42.11683984858318
2023,13,Bolívar,35647.24251460941,903077.9337434726,903036.767290132,38252322.132975854,42.35965081218666,4.5584607709203695e-05,38254065.929564536,1989211428.3373559,35647242514609.41,39.47305230551157,17920.288415196,42.35965081218665
2024,13,Bolívar,35907.28967549529,796377.3261698836,796331.6851065172,34931283.72752252,43.86524406956144,5.7310852364378384e-05,34933285.78390668,1816530860.7631476,35907289675495.29,45.088287292392764,19766.958245019952,43.86524406956144
2010,15,Boyacá,17346.016995581424,428967.0211261067,428544.0182718002,17988872.180104043,41.97671980733322,0.0009860964444213804,18006628.45239697,936344679.5246425,17346016995581.424,40.43671457550599,18525.24756629956,41.97671980733322
2011,15,Boyacá,18968.974784455262,460675.91407925356,460665.3500989367,19056681.49260185,41.36773362378799,2.293147958032371e-05,19057118.500525605,990970162.0273315,18968974784455.26,41.17639799416968,19141.822338675105,41.367733623788
2012,15,Boyacá,19556.4165695324,481082.5435644548,480224.01610283856,20486528.172477964,42.660357428044236,0.0017845741299512552,20523153.260852303,1067203969.5643197,19556416569532.402,40.650854684175954,18324.90988345574,42.66035742804423
2013,15,Boyacá,20127.374018803806,491034.68317925814,490267.80157158634,21337362.961916406,43.52185253348895,0.0015617666815438414,21370739.070156142,1111278431.6481194,20127374018803.805,40.989719684334524,18111.90917199141,43.52185253348895
2014,15,Boyacá,20986.058056684422,511818.69847736997,511318.12511744426,22110799.163814574,43.2427447369208,0.0009780286679929029,22132445.329839945,1150887157.1516771,20986058056684.42,41.002913959800004,18234.6791570971,43.2427447369208
2015,15,Boyacá,22164.683372837735,536271.3137202064,535434.7584560397,23273609.673845135,43.46675165608612,0.0015599478151522295,23309972.01375926,1212118544.7154815,22164683372837.734,41.33110014607627,18285.904022729403,43.46675165608612
2016,15,Boyacá,22341.244463173196,525760.6487047566,525490.9889960688,22470548.12591816,42.76105317970783,0.000512894430863442,22482079.059061784,1169068111.0712128,22341244463173.195,42.49318490878352,19110.30183066237,42.76105317970783
2017,15,Boyacá,22574.436274817897,543437.4982666218,543414.7236774118,23514465.882295754,43.271676047288494,4.1908387409250736e-05,23515451.37694216,1222803471.6009924,22574436274817.9,41.54007838403232,18461.213759281887,43.271676047288494
