anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,group_code,group_name,group_label_short,group_order,sector_code,dane_groups,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015
2021,19489.0,74919.38612948761,3654232.7559932456,190020103.3116488,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,19489000000000.0,260.13293763934485,102562.83235482941
2022,20350.0,76192.5122979482,3680845.7465205193,191403978.819067,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,20350000000000.0,267.0866124012557,106319.6289103098
2023,20987.000000000004,89591.61702234017,4261883.220308946,221617927.4560652,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,20987000000000.004,234.25182731958927,94699.01754297646
2024,21504.0,87777.9346449896,4135602.841822859,215051347.77478868,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,21504000000000.0,244.98184067523465,99994.72322545006
2025,21855.691082720765,83438.28043470441,3840085.978322292,199684470.8727592,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,21855691082720.766,261.93841686160096,109451.13051203373
2010,7032.0,66153.23466992988,3190626.5162385744,165912578.84440586,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",7032000000000.0,106.2986569755207,42383.7664930437
2011,7213.0,65747.27875279114,3104823.0273103123,161450797.42013624,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",7213000000000.0,109.70796262337763,44676.149732663944
2012,7339.0,65249.54063200943,3031532.0398869156,157639666.0741196,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",7339000000000.0,112.4758876294634,46555.54139875761
2013,7563.0,74466.6659977358,3526277.450010352,183366427.4005383,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",7563000000000.0,101.56222114509539,41245.28195927428
2014,7742.999999999998,73493.49975955406,3503091.4233107334,182160754.01215813,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",7742999999999.998,105.35625634011828,42506.411669130444
2015,7757.0,103591.75839165576,4658232.408503006,242228085.24215633,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",7757000000000.0,74.88047428129013,32023.53679279303
2016,7607.0,94912.34761086444,4319647.884162776,224621689.97646436,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",7607000000000.0,80.14763296329255,33865.830146665954
2017,7788.0,101843.37211482115,4637435.034204185,241146621.77861762,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",7788000000000.0,76.47036658624761,32295.704341857625
2018,7949.0,101763.0972725117,4666510.956870236,242658569.7572523,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",7949000000000.0,78.11279543421668,32757.961146609905
2019,8039.999999999999,113571.61773917107,5238906.841271565,272423155.7461214,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",8039999999999.999,70.79233491649902,29512.909715695
2021,7486.0,153018.4746404598,6931932.84150128,360460507.75806653,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",7486000000000.0,48.92219725487067,20767.87841908175
2022,7838.0,213928.93586071333,9736974.383299192,506322667.931558,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",7838000000000.0,36.63833491465237,15480.247076473966
2023,8111.0,211926.39401768416,9284595.915647287,482798987.6136589,"062|063,064,066|065","Agua; Aguas residuales, desechos y saneamiento; Reciclaje","Agua; Aguas residuales, desechos y saneamiento; Reciclaje",36,D+E,"062; 063,064,066; 065",8111000000000.0,38.27272217599842,16799.95237788384
