anio,depto,departamento,ocupados,pib_por_trabajador_millones_2015,ocupados_remuneracion_valida,rem_total_mensual,rem_por_trabajador,share_ocupados_remuneracion_valida
2024,47,Magdalena,550091.0381352282,23.861711130466922,549946.1802623019,634372012728.2599,1153212.7752503268,0.999736665637351
2010,50,Meta,339224.6313782941,62.70109434857646,338393.8362681308,509896371296.119,1503123.075775404,0.9975508998070461
2011,50,Meta,341429.6598374517,75.66524498973816,340834.6222133874,515721120363.25104,1510475.453739948,0.9982572175353847
2012,50,Meta,348085.4492743529,79.89600011437038,347478.58791100763,585147874590.5402,1681046.6390088603,0.9982565735953329
2013,50,Meta,348753.02443958056,88.37008352931954,348320.1918138674,567293891081.8046,1626635.0435050777,0.9987589136283229
2014,50,Meta,361230.27541229775,82.71212607245545,361141.608772482,609021569433.3481,1685964.9118231537,0.9997545426121481
2015,50,Meta,384428.75113373896,79.8903893367982,384144.9431567162,627553538278.0813,1632431.332014919,0.9992617410217478
2016,50,Meta,380521.8682647806,75.95966925148196,380158.5057710309,595210566021.9413,1564195.4264972038,0.9990450943190028
2017,50,Meta,389665.35558862414,74.47903546514019,389428.52182338195,605941311510.545,1555029.983600202,0.9993922124154855
2018,50,Meta,403109.9890673436,72.94193129493685,402801.14638754795,668661939010.2906,1658758.0490310895,0.9992338500950815
2019,50,Meta,416169.0898166178,74.00845188187942,415986.03777496284,694058877652.2402,1667732.8870293389,0.9995601498378085
2021,50,Meta,425914.1545508358,67.60297150260864,425167.8396857374,806660827071.8865,1893951.6765358075,0.9982477340630169
2022,50,Meta,473222.69503211975,63.85136703761545,472920.99706586206,798248112178.051,1686833.9590599523,0.9993624609102122
2023,50,Meta,484338.8303918037,64.73583916972431,484038.84158606804,831109845044.1083,1715967.8161087884,0.9993806220213791
2024,50,Meta,508097.8658874078,63.109979706509776,507775.73838617373,931419081257.9014,1833148.973438711,0.9993660128828302
2010,52,Nariño,596192.2221348764,15.53091652927222,595465.4742846726,576440148567.3151,966869.6221885752,0.9987810175590661
