anio,depto,departamento,pib_miles_millones_2015,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,horas_mensuales,pib_pesos_2015,pib_trabajador,pib_hora
2016,85,Casanare,12937.903304520642,61202.9114610654,61171.31799139712,2716705.8118356303,44.41143171408693,0.0005162086069774308,2718108.9230564144,141341663.99893355,11778471.99991113,12937903304520.64,211.39359216188865,91.53637320003718
2017,85,Casanare,12960.350388615432,63882.47742004754,63862.04509493248,2872988.4245183202,44.98741655152999,0.0003198424034294156,2873907.6220393875,149443196.34604815,12453599.695504012,12960350388615.432,202.87801776059842,86.72425848417123
2018,85,Casanare,13290.597847190622,65414.16734794654,65414.16734794654,2930252.690079566,44.79538315443454,0.0,2930252.690079566,152373139.88413745,12697761.657011455,13290597847190.621,203.17613731129813,87.22402030500007
2019,85,Casanare,13493.372863956762,69584.33161802702,69584.33161802702,3161720.114678483,45.43724199341716,0.0,3161720.1146784825,164409445.9632811,13700787.163606757,13493372863956.762,193.913953762273,82.07176166125117
2021,85,Casanare,12550.346898558799,68714.8213845833,68163.17141612592,3270374.9494864214,47.97862073525415,0.008028107435074316,3296842.354101653,171435802.41328597,14286316.86777383,12550346898558.799,182.64395723765304,73.20726897117594
2022,85,Casanare,12870.833421935311,75859.16766039531,75794.33147112529,3544216.829936981,46.76097487959493,0.0008546915457902093,3547248.6333547253,184456928.9344457,15371410.744537143,12870833421935.31,169.66747486019332,69.77690399751523
2023,85,Casanare,13038.024028222979,78420.64936562817,78420.64936562817,3675117.9202096825,46.86416077830248,0.0,3675117.9202096825,191106131.85090348,15925510.98757529,13038024028222.979,166.2575371881268,68.22399627864866
2024,85,Casanare,13130.556138201273,79471.39571872605,79471.39571872605,3726137.2737440183,46.88652111927133,0.0,3726137.2737440183,193759138.23468894,16146594.852890745,13130556138201.273,165.2236760088421,67.76741607044625
2014,19,Cauca,13898.553682667705,510662.2042522689,510628.5640182909,20137845.074194103,39.437365030509255,6.587570745963944e-05,20139171.756381202,1047236931.3318225,87269744.27765188,13898553682667.705,27.216726765628756,13.27164203901044
2015,19,Cauca,14622.036080438851,518882.58847436414,518861.24966050364,20373529.894039344,39.26585365041224,4.1124551747317994e-05,20374367.780781463,1059467124.600636,88288927.050053,14622036080438.852,28.179854952217706,13.801311754671575
2016,19,Cauca,14975.410181087638,536745.5522223647,536735.0494183428,20636135.083864003,38.44752658919384,1.956756600673959e-05,20636538.8907009,1073100022.3164468,89425001.8597039,14975410181087.639,27.900389894397442,13.955278976475071
