anio,depto,departamento,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015,horas_semanales_por_trabajador
2019,25,Cundinamarca,52890.19488571039,1017674.2075830013,46431216.44803401,2414423255.2977686,52890194885710.39,51.97163737825858,21905.93334025334,45.62483366686592
2021,25,Cundinamarca,55181.84042911929,1159111.1777365466,54164305.69347123,2816543896.060504,55181840429119.29,47.60702984236213,19592.03991327884,46.7291720879101
2022,25,Cundinamarca,59558.24638100433,1413964.7766806285,64749578.049462,3366978058.572024,59558246381004.33,42.12144981491057,17688.93213585826,45.79292151920907
2023,25,Cundinamarca,59647.96244907074,1495204.7075644536,67073847.79125565,3487840085.145294,59647962449070.74,39.89284018924178,17101.690729202674,44.85930752619993
2024,25,Cundinamarca,60506.329392063584,1497470.1840930174,66992694.067516565,3483620091.5108614,60506329392063.586,40.405698914607,17368.808251941653,44.73724737837934
2010,23,Córdoba,11607.732179651237,598140.0017920486,26558064.090465423,1381019332.704202,11607732179651.236,19.40638001951727,8405.191661525767,44.40108337662842
2011,23,Córdoba,11546.80310278967,597579.2071652996,26578679.243923668,1382091320.6840308,11546803102789.67,19.322631986416567,8354.587667242477,44.47724908301837
2012,23,Córdoba,12683.650512523787,614208.8351982338,26813349.30488804,1394294163.854178,12683650512523.787,20.650387597290393,9096.825362492376,43.65510192674796
2013,23,Córdoba,13141.361626508242,638239.8959845025,26953806.691291176,1401597947.9471412,13141361626508.242,20.590003397135384,9375.985207281316,42.2314663512443
2014,23,Córdoba,13683.779018080728,631624.0728066363,25310218.61887171,1316131368.181329,13683779018080.729,21.664435551476902,10396.970506819085,40.071649749518194
2015,23,Córdoba,13656.567300133398,688851.2853812499,27829313.212570693,1447124287.0536761,13656567300133.398,19.825131476055923,9437.038285037679,40.39959538896463
2016,23,Córdoba,13731.403833371107,681287.1612159385,29469501.837957166,1532414095.5737727,13731403833371.107,20.15508968180724,8960.635296316392,43.25562481664998
2017,23,Córdoba,13920.294746264999,717600.8775971008,30196850.773716353,1570236240.2332504,13920294746265.0,19.39838032650873,8865.095830546627,42.08028685086205
2018,23,Córdoba,14195.537270490544,733491.9705589513,30750654.030691188,1599034009.5959418,14195537270490.545,19.353364236111485,8877.570574047766,41.92364097354456
2019,23,Córdoba,14774.33245866878,714653.0130086724,30197749.5674983,1570282977.5099115,14774332458668.78,20.67343478546209,9408.707010310518,42.255121041701734
2021,23,Córdoba,15431.429349159753,717622.3886015376,28408360.619446516,1477234752.2112188,15431429349159.752,21.50355060581605,10446.159167363892,39.58678139182244
2022,23,Córdoba,16488.358344392895,716490.8287560145,28858861.8189977,1500660814.5878804,16488358344392.895,23.012657919181336,10987.398474132222,40.27806171518346
2023,23,Córdoba,16707.527697314483,754655.9448473185,29906069.043530885,1555115590.263606,16707527697314.482,22.13926466940473,10743.59218177628,39.62874638134794
2024,23,Córdoba,17032.132414305022,774002.029012392,30728709.666814983,1597892902.674379,17032132414305.021,22.005281350538073,10659.120136148356,39.70107120523195
2010,41,Huila,11723.976802425374,364173.5576786011,16083539.99904586,836344079.9503847,11723976802425.373,32.19337745760303,14018.12613191557,44.16449151764137
2011,41,Huila,12503.665813444433,381740.7243286126,17102056.89335812,889306958.4546221,12503665813444.434,32.75434088263778,14060.011219492158,44.80018977130722
2012,41,Huila,12769.396558016235,379659.3799076062,16319525.768533474,848615339.9637406,12769396558016.234,33.633823458079156,15047.3317611273,42.984650537292104
2013,41,Huila,13310.405259539662,378640.8502138446,16302927.97986069,847752254.9527558,13310405259539.662,35.153114757750934,15700.819646043212,43.05644245900383
2014,41,Huila,13915.06204359526,385504.44524862897,17247886.453522976,896890095.5831947,13915062043595.26,36.095723966609036,15514.790621639228,44.74108318621085
2015,41,Huila,13805.323974530787,399249.55486959004,17445056.697325088,907142948.2609046,13805323974530.787,34.57818250803091,15218.465844878308,43.69461777615081
2016,41,Huila,13635.836397667399,410506.62886333995,18229328.40284821,947925076.9481069,13635836397667.398,33.217091854092445,14384.93054911963,44.40690386248759
2017,41,Huila,13211.633615559287,405580.1400556756,17537069.45788953,911927611.8102556,13211633615559.287,32.57465617953007,14487.590291660372,43.23946792730568
2018,41,Huila,13369.145353982982,379140.23285223957,16271449.610185346,846115379.729638,13369145353982.982,35.261742742014064,15800.61735582075,42.91670521953479
2019,41,Huila,13753.501651992608,381681.7755464944,16576325.297742827,861968915.482627,13753501651992.61,36.033949046428155,15955.913728387588,43.42970076055829
2021,41,Huila,14164.392160162924,366627.50592080876,16496423.420765694,857814017.879816,14164392160162.924,38.634286657211206,16512.194793892286,44.995051255998526
2022,41,Huila,14807.150423974703,432782.5810661316,19320065.956727345,1004643429.7498219,14807150423974.703,34.21383177552631,14738.71224904343,44.64150546247408
2023,41,Huila,14903.943704209316,452254.36942856165,19987254.286135763,1039337222.8790597,14903943704209.316,32.95478100751341,14339.8536837967,44.19471792254947
2024,41,Huila,15353.680484528884,485561.0025486689,20756794.34321212,1079353305.8470302,15353680484528.885,31.620497535713756,14224.888552576374,42.748067151730574
2010,44,La Guajira,7537.923684586167,271571.4127948123,12138307.219811516,631191975.4301988,7537923684586.167,27.75669061412402,11942.362986235015,44.69655732498877
2011,44,La Guajira,8005.784230739766,275949.72829844506,12218654.305776546,635370023.9003804,8005784230739.766,29.011748915662466,12600.191903285307,44.27855168084033
2012,44,La Guajira,8438.36348980637,306516.15747150395,13484086.617368815,701172504.1031784,8438363489806.37,27.529914114204125,12034.64688136809,43.99143826087666
