anio,depto,departamento,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015,horas_semanales_por_trabajador
2016,13,Bolívar,29284.661306104183,683619.3151373923,30219664.850882933,1571422572.2459126,29284661306104.184,42.83767391829562,18635.764703474946,44.20539938197833
2017,13,Bolívar,30271.190343724826,721236.337314258,32052893.34473109,1666750453.9260166,30271190343724.824,41.97124961347451,18161.801169707975,44.441595197615456
2018,13,Bolívar,30804.08827574953,743474.7918268009,32253017.512930106,1677156910.6723654,30804088275749.53,41.432592758202915,18366.849326817188,43.381454041879245
2019,13,Bolívar,31919.755993308096,930911.235658458,39544240.13120447,2056300486.8226326,31919755993308.094,34.28872138462311,15522.90445771866,42.47906633464768
2021,13,Bolívar,32660.56437121709,749763.8753457139,32199180.658999033,1674357394.2679498,32660564371217.09,43.56113363845037,19506.327910055727,42.9457616161516
2022,13,Bolívar,35424.40371121257,818789.4617195129,34480924.25350634,1793008061.1823297,35424403711212.57,43.26436204591464,19756.968458832984,42.11207626084254
2023,13,Bolívar,35647.24251460941,903077.9337434726,38252322.132975854,1989120750.9147444,35647242514609.41,39.47305230551157,17921.10534175272,42.357719864121684
2024,13,Bolívar,35907.28967549529,796377.3261698836,34931283.72752252,1816426753.831171,35907289675495.29,45.088287292392764,19768.091171174587,43.862730115034644
2010,15,Boyacá,17346.016995581424,428967.0211261067,17988872.180104043,935421353.3654102,17346016995581.424,40.43671457550599,18543.533278532534,41.93532671318273
2011,15,Boyacá,18968.974784455262,460675.91407925356,19056681.49260185,990947437.6152961,18968974784455.26,41.17639799416968,19142.26129904921,41.36678500044911
2012,15,Boyacá,19556.4165695324,481082.5435644548,20486528.172477964,1065299464.9688542,19556416569532.402,40.650854684175954,18357.670507329287,42.58422685780368
2013,15,Boyacá,20127.374018803806,491034.68317925814,21337362.961916406,1109542874.019653,20127374018803.805,40.989719684334524,18140.23999440989,43.453881554283086
2014,15,Boyacá,20986.058056684422,511818.69847736997,22110799.163814574,1149761556.5183578,20986058056684.42,41.002913959800004,18252.530655341445,43.200452092885385
2015,15,Boyacá,22164.683372837735,536271.3137202064,23273609.673845135,1210227703.039947,22164683372837.734,41.33110014607627,18314.473645878956,43.39894579180844
2016,15,Boyacá,22341.244463173196,525760.6487047566,22470548.12591816,1168468502.5477443,22341244463173.195,42.49318490878352,19120.10842779249,42.7391212736741
2017,15,Boyacá,22574.436274817897,543437.4982666218,23514465.882295754,1222752225.8793793,22574436274817.9,41.54007838403232,18461.98747140518,43.269862601124856
2018,15,Boyacá,23236.7077751753,566618.7979658268,24049899.434147846,1250594770.575688,23236707775175.297,41.009419134337854,18580.525300356658,42.44458447281925
2019,15,Boyacá,23732.383798024865,550387.2513943772,22888775.491341352,1190216325.5497503,23732383798024.863,43.11942861666965,19939.55492675929,41.58667453389198
2021,15,Boyacá,23270.35090533265,405784.0604399958,17160351.48411081,892338277.1737621,23270350905332.65,57.34663623825039,26077.947680374233,42.28936805823192
2022,15,Boyacá,24835.37666562782,510273.9424686432,21261014.440447807,1105572750.903286,24835376665627.82,48.670673923652245,22463.810405363714,41.665883108962234
2023,15,Boyacá,24919.72722798641,518280.7512190068,21367849.28327635,1111128162.73037,24919727227986.41,48.08152178018325,22427.41032389214,41.22832891829136
2024,15,Boyacá,25177.13652572238,529805.9535491505,21422488.13565117,1113969383.053861,25177136525722.38,47.52142998216927,22601.28232312921,40.434593065900295
2010,17,Caldas,10675.32742860875,392289.33006841835,18794652.59136014,977321934.7507273,10675327428608.75,27.212892654375505,10923.040861997604,47.91018044789086
2011,17,Caldas,10695.99755916757,392140.8848726636,19227263.890361473,999817722.2987967,10695997559167.57,27.27590509375422,10697.947556455754,49.03152063984599
2012,17,Caldas,10777.088071359862,406426.09056768485,19425199.76566367,1010110387.8145108,10777088071359.861,26.51672301920066,10669.218138303995,47.79515935734116
2013,17,Caldas,11462.382399886874,401159.16715693,19225951.546417616,999749480.4137161,11462382399886.873,28.573153347391628,11465.254670743627,47.92599327263183
2014,17,Caldas,12106.336467296247,417250.13007695647,19739629.293107484,1026460723.2415892,12106336467296.246,29.014578054327714,11794.252028527819,47.30886312597856
2015,17,Caldas,12513.501744755558,431007.75488342496,20455241.884324152,1063672577.9848559,12513501744755.559,29.033124353273173,11764.43014866716,47.45910404757497
2016,17,Caldas,12821.068783831432,434533.5704444661,20634002.2527705,1072968117.1440659,12821068783831.432,29.505358517449643,11949.161003923815,47.48540425004413
2017,17,Caldas,13043.346698233452,440344.9758737052,20178165.510750655,1049264606.5590341,13043346698233.451,29.620746035204903,12430.94126753012,45.82353976155716
2018,17,Caldas,13394.76340712194,450151.9054625769,20952334.37759888,1089521387.6351418,13394763407121.94,29.75609620791776,12294.17206411699,46.545030962533026
2019,17,Caldas,13798.051820555198,445288.5637342009,20705718.670389853,1076697370.8602724,13798051820555.197,30.986764413719488,12815.162546120704,46.499551878788864
2021,17,Caldas,14454.188242439237,371043.28252546693,17541879.380944084,912177727.8090924,14454188242439.236,38.95553139800384,15845.802634488704,47.27717818133544
