"anio","sector","tamano_empresa","workers","mean_income","worker_share","year","sector_chr","sector_label_en","sector_label_es"
2008,"Salud y asistencia social","51-100",17793.9978796307,11170.3848395728,0.0583457391790454,"2008","Salud y asistencia social","Q - Health","Q - Salud"
2008,"Salud y asistencia social","101+",144139.772240166,13282.4516818566,0.472627995874882,"2008","Salud y asistencia social","Q - Health","Q - Salud"
2008,"Transporte y almacenamiento","Solo",296871.065742687,4967.70600576523,0.58295238666523,"2008","Transporte y almacenamiento","H - Transport","H - Transporte"
2008,"Transporte y almacenamiento","2-3",80440.0220659293,6681.62529418161,0.15795646075991,"2008","Transporte y almacenamiento","H - Transport","H - Transporte"
2008,"Transporte y almacenamiento","4-5",9019.03905146131,10816.3519596612,0.0177102821634809,"2008","Transporte y almacenamiento","H - Transport","H - Transporte"
2008,"Transporte y almacenamiento","6-10",11041.935135768,9022.63702972596,0.021682552406026,"2008","Transporte y almacenamiento","H - Transport","H - Transporte"
2008,"Transporte y almacenamiento","11-19",7543.32574408689,8959.01881206175,0.0148124901795589,"2008","Transporte y almacenamiento","H - Transport","H - Transporte"
2008,"Transporte y almacenamiento","20-30",10577.6659562513,9154.80016188431,0.02077088785705,"2008","Transporte y almacenamiento","H - Transport","H - Transporte"
2008,"Transporte y almacenamiento","31-50",8716.13482857972,10538.6737046474,0.0171154827369418,"2008","Transporte y almacenamiento","H - Transport","H - Transporte"
2008,"Transporte y almacenamiento","51-100",13186.5389092384,7145.98885047487,0.0258938145749011,"2008","Transporte y almacenamiento","H - Transport","H - Transporte"
2008,"Transporte y almacenamiento","101+",71858.6688657255,8176.89851616397,0.141105642656902,"2008","Transporte y almacenamiento","H - Transport","H - Transporte"
2025,"Actividades financieras y de seguros","Solo",20953.0759371105,16079.9632558045,0.0498073163602947,"2025","Actividades financieras y de seguros","K - Finance and insurance","K - Finanzas y seguros"
2025,"Actividades financieras y de seguros","2-3",11052.1767623917,13333.3890939521,0.0262720025511564,"2025","Actividades financieras y de seguros","K - Finance and insurance","K - Finanzas y seguros"
2025,"Actividades financieras y de seguros","4-5",9673.13343693005,10751.4391752789,0.0229938944875967,"2025","Actividades financieras y de seguros","K - Finance and insurance","K - Finanzas y seguros"
2025,"Actividades financieras y de seguros","6-10",12406.418721089,28075.0640589626,0.0294911555703919,"2025","Actividades financieras y de seguros","K - Finance and insurance","K - Finanzas y seguros"
2025,"Actividades financieras y de seguros","11-19",11478.4326482231,36526.548030484,0.0272852505258102,"2025","Actividades financieras y de seguros","K - Finance and insurance","K - Finanzas y seguros"
2025,"Actividades financieras y de seguros","20-30",9642.76074197895,15298.1095882942,0.0229216959029743,"2025","Actividades financieras y de seguros","K - Finance and insurance","K - Finanzas y seguros"
2025,"Actividades financieras y de seguros","31-50",11987.0338769658,19450.338424056,0.0284942406701333,"2025","Actividades financieras y de seguros","K - Finance and insurance","K - Finanzas y seguros"
2025,"Actividades financieras y de seguros","51-100",18978.420477249,18380.9736511181,0.0451133855270793,"2025","Actividades financieras y de seguros","K - Finance and insurance","K - Finanzas y seguros"
2025,"Actividades financieras y de seguros","101+",314511.239586109,21978.8628823616,0.747621058404563,"2025","Actividades financieras y de seguros","K - Finance and insurance","K - Finanzas y seguros"
2025,"Administración pública y defensa","Solo",2932.56142450013,12421.4733207642,0.00365406966804581,"2025","Administración pública y defensa","O - Public administration","O - Administracion publica"
2025,"Administración pública y defensa","2-3",1941.05941490791,9221.32559594886,0.00241862498518637,"2025","Administración pública y defensa","O - Public administration","O - Administracion publica"
2025,"Administración pública y defensa","4-5",1368.91059509475,10296.1309522406,0.00170570840972407,"2025","Administración pública y defensa","O - Public administration","O - Administracion publica"
2025,"Administración pública y defensa","6-10",3923.31398118095,12563.9614652727,0.0048885805074985,"2025","Administración pública y defensa","O - Public administration","O - Administracion publica"
2025,"Administración pública y defensa","11-19",6155.10515661914,18660.2060363505,0.00766946699514336,"2025","Administración pública y defensa","O - Public administration","O - Administracion publica"
2025,"Administración pública y defensa","20-30",10279.1123957477,15374.8150846891,0.0128081180178989,"2025","Administración pública y defensa","O - Public administration","O - Administracion publica"
2025,"Administración pública y defensa","31-50",15663.5936282341,15219.1648610566,0.0195173618159702,"2025","Administración pública y defensa","O - Public administration","O - Administracion publica"
2025,"Administración pública y defensa","51-100",32319.6158984885,15460.1681309285,0.0402713229298133,"2025","Administración pública y defensa","O - Public administration","O - Administracion publica"
2025,"Administración pública y defensa","101+",727963.3921583,22161.3834035363,0.90706674667072,"2025","Administración pública y defensa","O - Public administration","O - Administracion publica"
2025,"Agricultura, ganadería, silvicultura y pesca","Solo",1521570.77988493,4738.38598417529,0.489837057618682,"2025","Agricultura, ganadería, silvicultura y pesca","A - Agriculture","A - Agro y pesca"
2025,"Agricultura, ganadería, silvicultura y pesca","2-3",695277.139018395,6277.04557569291,0.223829553319933,"2025","Agricultura, ganadería, silvicultura y pesca","A - Agriculture","A - Agro y pesca"
2025,"Agricultura, ganadería, silvicultura y pesca","4-5",295919.399116804,7032.57730951686,0.0952648997154282,"2025","Agricultura, ganadería, silvicultura y pesca","A - Agriculture","A - Agro y pesca"
2025,"Agricultura, ganadería, silvicultura y pesca","6-10",156040.122220092,7908.13750965291,0.0502337685168545,"2025","Agricultura, ganadería, silvicultura y pesca","A - Agriculture","A - Agro y pesca"
