anio,rama_ptf,dln_V,dln_L,dln_K,wL_bar,wK_bar,aporte_L,aporte_K,dln_T
2024,I_TransporteComunicaciones,0.003863665227660462,-0.02081763027731455,0.013055846006562177,0.8359066497807033,0.16409335021929672,-0.01740159558148334,0.002142377511164014,0.019122883297979787
2015,J-K_FinancieroInmobiliario,0.029198634907494636,0.017688840678381973,0.06381031290981198,0.4628501180510545,0.5371498819489455,0.008187281996175392,0.03427570204663078,-0.013264349135311536
2016,J-K_FinancieroInmobiliario,0.012868247635710262,0.04591302305201882,0.05829535354920168,0.4721341228034661,0.5278658771965339,0.021677104863920223,0.03077212793773142,-0.039580985165941385
2017,J-K_FinancieroInmobiliario,0.029196058327210395,0.003042185356747033,0.05440119416717337,0.466647983952699,0.533352016047301,0.0014196296635364254,0.029014986584442588,-0.0012385579207686184
2018,J-K_FinancieroInmobiliario,0.03843533816578493,0.03091478025889324,0.051556724977803725,0.4632897916061476,0.5367102083938524,0.014322502103692495,0.027671020606941574,-0.003558184544849142
2019,J-K_FinancieroInmobiliario,0.03892808399929848,0.08695344390532472,0.04365113431395251,0.4632026358178325,0.5367973641821675,0.04027706441038446,0.023431813843291474,-0.02478079425437745
2022,J-K_FinancieroInmobiliario,0.04970342565120234,0.19766552535605175,0.038367281511167306,0.4672781552244998,0.5327218447755002,0.09236478203985744,0.02043908898564999,-0.06310044537430509
2023,J-K_FinancieroInmobiliario,0.03394461690188777,0.06421314156890842,0.03187076589251525,0.49914049279634487,0.5008595072036551,0.03205137912670641,0.01596277609912825,-0.014069538323946886
2024,J-K_FinancieroInmobiliario,0.009802506063641303,-0.004250954812518422,0.029001856183114683,0.5052191207305815,0.49478087926941844,-0.0021476636526459912,0.014349563902726702,-0.0023993941864394073
2015,L-Q_ServiciosSocialesComunales,0.05035999686869452,0.015556476253277761,0.06115457185913442,1,0,0.015556476253277761,0,0.034803520615416764
2016,L-Q_ServiciosSocialesComunales,0.03871171123515005,0.019055668477698066,0.05364317536001195,1,0,0.019055668477698066,0,0.01965604275745198
2017,L-Q_ServiciosSocialesComunales,0.03217117018029114,-0.026625365775299205,0.057076664613168404,1,0,-0.026625365775299205,0,0.05879653595559035
2018,L-Q_ServiciosSocialesComunales,0.04297867800830346,0.03946832846869143,0.06015309159109883,1,0,0.03946832846869143,0,0.0035103495396120316
2019,L-Q_ServiciosSocialesComunales,0.0599231874390469,0.08227637625687904,0.06858262341597232,1,0,0.08227637625687904,0,-0.022353188817832145
2022,L-Q_ServiciosSocialesComunales,0.05172818725977102,0.1986517639318784,0.030242230304686757,0.9469236111855139,0.05307638881448609,0.18810804567074652,0.0016051483742687885,-0.13798500678524428
2023,L-Q_ServiciosSocialesComunales,0.05789981162215696,0.027652396833199196,0.016807872556979575,0.9500443811045008,0.04995561889549914,0.02627100423545279,8.396476759005903e-4,0.03078915971080358
2024,L-Q_ServiciosSocialesComunales,0.04757040813904467,-0.002742710727243839,0.017683088590777274,0.9451960336455766,0.05480396635442342,-0.0025923993008280517,9.691033921712463e-4,0.04919370404770148
