anio,rama_ptf,concepto,valor
2018,E_ElectricidadGasAgua,excedente_explotacion_bruto,26187.0
2018,F_Construccion,excedente_explotacion_bruto,19717.0
2018,G-H_ComercioHotelesRest,excedente_explotacion_bruto,24905.0
2018,I_TransporteComunicaciones,excedente_explotacion_bruto,35252.0
2018,J-K_FinancieroInmobiliario,excedente_explotacion_bruto,93977.0
2018,L-Q_ServiciosSocialesComunales,excedente_explotacion_bruto,32427.0
2018,TOT_Economia,excedente_explotacion_bruto,341738.0
2019,A-B_AgriculturaPesca,produccion,107470.0
2019,C_Mineria,produccion,104633.0
2019,D_Manufactura,produccion,388979.0
2019,E_ElectricidadGasAgua,produccion,81346.0
2019,F_Construccion,produccion,170211.0
2019,G-H_ComercioHotelesRest,produccion,244466.0
2019,I_TransporteComunicaciones,produccion,160121.0
2019,J-K_FinancieroInmobiliario,produccion,287917.0
2019,L-Q_ServiciosSocialesComunales,produccion,312302.0
2019,TOT_Economia,produccion,1857445.0
2019,A-B_AgriculturaPesca,valor_agregado,67958.0
2019,C_Mineria,valor_agregado,58317.0
2019,D_Manufactura,valor_agregado,115830.0
2019,E_ElectricidadGasAgua,valor_agregado,36124.0
2019,F_Construccion,valor_agregado,65277.0
2019,G-H_ComercioHotelesRest,valor_agregado,136748.0
2019,I_TransporteComunicaciones,valor_agregado,80899.0
2019,J-K_FinancieroInmobiliario,valor_agregado,211830.0
2019,L-Q_ServiciosSocialesComunales,valor_agregado,186809.0
2019,TOT_Economia,valor_agregado,959792.0
2019,A-B_AgriculturaPesca,remuneracion_asalariados,16308.0
2019,C_Mineria,remuneracion_asalariados,10091.0
2019,D_Manufactura,remuneracion_asalariados,37554.0
2019,E_ElectricidadGasAgua,remuneracion_asalariados,5488.0
2019,F_Construccion,remuneracion_asalariados,17242.0
2019,G-H_ComercioHotelesRest,remuneracion_asalariados,54444.0
2019,I_TransporteComunicaciones,remuneracion_asalariados,24182.0
2019,J-K_FinancieroInmobiliario,remuneracion_asalariados,64754.0
2019,L-Q_ServiciosSocialesComunales,remuneracion_asalariados,134993.0
2019,TOT_Economia,remuneracion_asalariados,365056.0
2019,A-B_AgriculturaPesca,ingreso_mixto,40975.0
2019,C_Mineria,ingreso_mixto,6386.0
2019,D_Manufactura,ingreso_mixto,13468.0
2019,E_ElectricidadGasAgua,ingreso_mixto,754.0
2019,F_Construccion,ingreso_mixto,25198.0
2019,G-H_ComercioHotelesRest,ingreso_mixto,48554.0
2019,I_TransporteComunicaciones,ingreso_mixto,18561.0
2019,J-K_FinancieroInmobiliario,ingreso_mixto,38053.0
2019,L-Q_ServiciosSocialesComunales,ingreso_mixto,11348.0
2019,TOT_Economia,ingreso_mixto,203297.0
2019,A-B_AgriculturaPesca,excedente_explotacion_bruto,9949.0
2019,C_Mineria,excedente_explotacion_bruto,41033.0
2019,D_Manufactura,excedente_explotacion_bruto,60960.0
2019,E_ElectricidadGasAgua,excedente_explotacion_bruto,28919.0
2019,F_Construccion,excedente_explotacion_bruto,21327.0
2019,G-H_ComercioHotelesRest,excedente_explotacion_bruto,27617.0
2019,I_TransporteComunicaciones,excedente_explotacion_bruto,35990.0
2019,J-K_FinancieroInmobiliario,excedente_explotacion_bruto,99984.0
2019,L-Q_ServiciosSocialesComunales,excedente_explotacion_bruto,36271.0
2019,TOT_Economia,excedente_explotacion_bruto,362050.0
2020,A-B_AgriculturaPesca,produccion,118643.0
2020,C_Mineria,produccion,76193.0
2020,D_Manufactura,produccion,370361.0
2020,E_ElectricidadGasAgua,produccion,85978.0
2020,F_Construccion,produccion,129972.0
2020,G-H_ComercioHotelesRest,produccion,235558.0
2020,I_TransporteComunicaciones,produccion,138908.0
2020,J-K_FinancieroInmobiliario,produccion,290451.0
2020,L-Q_ServiciosSocialesComunales,produccion,305609.0
2020,TOT_Economia,produccion,1751673.0
2020,A-B_AgriculturaPesca,valor_agregado,74970.0
2020,C_Mineria,valor_agregado,40689.0
2020,D_Manufactura,valor_agregado,107111.0
2020,E_ElectricidadGasAgua,valor_agregado,38850.0
2020,F_Construccion,valor_agregado,47384.0
2020,G-H_ComercioHotelesRest,valor_agregado,127466.0
2020,I_TransporteComunicaciones,valor_agregado,71508.0
