anio,rama_ptf,sexo,grupo_edad,grupo_educ,horas_pond,ingreso_pond,n
2008,L-Q_ServiciosSocialesComunales,Hombre,50+,1_Bajo,1613459.4363828774,3314922750.847414,645
2008,L-Q_ServiciosSocialesComunales,Hombre,50+,2_Medio,1223108.317611248,4739765767.956703,600
2008,L-Q_ServiciosSocialesComunales,Hombre,50+,3_Alto,2073823.6672332678,28507967048.328297,1489
2008,L-Q_ServiciosSocialesComunales,Mujer,15-29,1_Bajo,1878370.2144227033,3090493382.2830367,854
2008,L-Q_ServiciosSocialesComunales,Mujer,15-29,2_Medio,5756004.292469678,12016267061.29597,3048
2008,L-Q_ServiciosSocialesComunales,Mujer,15-29,3_Alto,5152920.339841033,26721706102.39654,3073
2008,L-Q_ServiciosSocialesComunales,Mujer,30-49,1_Bajo,5961095.467462301,10868035639.255423,3100
2008,L-Q_ServiciosSocialesComunales,Mujer,30-49,2_Medio,9195508.659330558,21906615157.874073,4863
2008,L-Q_ServiciosSocialesComunales,Mujer,30-49,3_Alto,9314840.516144585,69906103748.43423,5934
2008,L-Q_ServiciosSocialesComunales,Mujer,50+,1_Bajo,3568423.6871480197,5994586973.661584,1952
2008,L-Q_ServiciosSocialesComunales,Mujer,50+,2_Medio,1863693.2676672721,5727630669.791622,1140
2008,L-Q_ServiciosSocialesComunales,Mujer,50+,3_Alto,2406168.0481406855,24314589910.413372,1843
2009,A-B_AgriculturaPesca,Hombre,15-29,1_Bajo,19445674.99870083,32230253013.99131,3260
2009,A-B_AgriculturaPesca,Hombre,15-29,2_Medio,11324947.192496719,20798399833.429638,2147
2009,A-B_AgriculturaPesca,Hombre,15-29,3_Alto,553655.654751204,1787716913.6505728,138
2009,A-B_AgriculturaPesca,Hombre,30-49,1_Bajo,39231756.258363016,75925391220.08656,7178
2009,A-B_AgriculturaPesca,Hombre,30-49,2_Medio,8893971.838428628,22705202549.304676,1793
2009,A-B_AgriculturaPesca,Hombre,30-49,3_Alto,804796.015339102,5650997166.063395,287
2009,A-B_AgriculturaPesca,Hombre,50+,1_Bajo,29544096.101648264,57572030659.644745,6017
2009,A-B_AgriculturaPesca,Hombre,50+,2_Medio,2335524.5186599893,8021799980.011303,557
2009,A-B_AgriculturaPesca,Hombre,50+,3_Alto,417446.6653549548,4852178457.747759,169
2009,A-B_AgriculturaPesca,Mujer,15-29,1_Bajo,1135071.3777554387,1598006025.0805755,264
2009,A-B_AgriculturaPesca,Mujer,15-29,2_Medio,1388313.3849300088,2356229830.6808443,260
2009,A-B_AgriculturaPesca,Mujer,15-29,3_Alto,178923.02430179634,610306282.1230763,65
2009,A-B_AgriculturaPesca,Mujer,30-49,1_Bajo,2978739.1535707163,5135769615.462466,736
